category,brand,condition,seller_reputation,log_price
0,0,1,4,4.330733340286331
1,1,1,2,7.170880792087884
2,10,1,5,7.090909822079984
2,8,0,4,5.860786223465865
2,32,0,3,8.071218539969863
0,0,0,3,4.795790545596741
1,1,1,3,7.170880792087884
1,1,0,3,6.90874478925533
0,0,1,4,4.330733340286331
2,2,1,5,7.280008252884188
2,28,0,5,7.467942332285852
1,12,0,3,7.090909822079984
2,28,0,4,7.467942332285852
2,32,0,1,7.131698510466912
0,0,1,2,4.795790545596741
2,32,0,4,7.208600337960199
2,10,1,1,7.280008252884188
1,1,0,4,7.170880792087884
0,0,0,1,4.454347296253507
1,1,0,5,7.170880792087884
0,0,0,5,4.795790545596741
1,1,0,1,7.170880792087884
0,0,0,3,4.795790545596741
2,26,0,5,7.131698510466912
1,1,0,3,7.24493440855279
0,0,0,4,4.795790545596741
1,5,0,3,7.090909822079984
2,32,1,5,8.160803920954665
2,2,1,4,7.208600337960199
0,0,0,2,4.51085950651685
2,26,0,1,8.160803920954665
1,5,1,2,7.208600337960199
2,23,1,3,8.071218539969863
0,6,0,5,3.828641396489095
2,32,0,3,7.496097345175956
2,32,1,2,8.071218539969863
0,0,1,3,4.795790545596741
2,28,0,2,7.783640596221253
1,1,1,5,7.170880792087884
1,12,0,5,7.090909822079984
2,32,1,3,7.467942332285852
2,23,1,5,7.280008252884188
1,12,0,3,7.24493440855279
0,18,0,4,4.795790545596741
1,1,1,5,7.170880792087884
2,7,0,3,7.496097345175956
2,23,0,4,8.160803920954665
1,1,0,3,7.170880792087884
0,0,1,5,4.330733340286331
2,32,0,5,6.746412128573375
1,12,1,1,7.090909822079984
1,1,0,2,7.170880792087884
2,32,0,2,7.496097345175956
2,32,0,5,7.280008252884188
1,1,0,4,7.24493440855279
2,26,1,3,6.621405651764134
0,0,0,4,4.51085950651685
2,26,1,5,8.071218539969863
0,0,0,4,4.795790545596741
0,0,0,4,4.795790545596741
2,32,0,3,7.467942332285852
1,5,0,4,7.090909822079984
1,1,1,5,7.170880792087884
1,1,0,4,7.090901495650648
0,18,1,5,4.795790545596741
0,0,0,2,4.795790545596741
0,0,0,1,4.795790545596741
1,12,0,3,7.280008252884188
0,18,0,3,4.795790545596741
0,0,0,5,4.795790545596741
1,12,0,1,7.090909822079984
2,2,1,1,7.208600337960199
0,0,1,3,4.795790545596741
1,1,0,1,7.170880792087884
2,32,1,4,7.496097345175956
2,3,1,4,7.131698510466912
0,18,0,5,4.795790545596741
0,0,0,4,4.795790545596741
2,32,0,1,7.467942332285852
1,1,0,4,7.090909822079984
2,28,0,1,7.090909822079984
0,0,0,2,4.394449154672439
