iter	Passed	Remaining
0	0	137
1	1	134
2	1	119
3	2	104
4	2	99
5	2	91
6	3	88
7	3	86
8	4	85
9	4	86
10	5	86
11	5	85
12	5	83
13	6	83
14	6	81
15	6	80
16	7	79
17	7	79
18	8	77
19	8	76
20	8	75
21	9	74
22	9	74
23	10	74
24	10	73
25	10	71
26	11	71
27	11	70
28	12	70
29	12	70
30	12	70
31	13	69
32	13	69
33	14	68
34	14	68
35	14	67
36	15	67
37	15	66
38	15	65
39	16	65
40	16	65
41	17	65
42	18	67
43	18	66
44	19	66
45	19	66
46	20	65
47	20	64
48	20	63
49	21	63
50	21	62
51	21	62
52	22	61
53	22	60
54	22	60
55	23	59
56	23	59
57	24	58
58	24	58
59	24	57
60	25	57
61	25	56
62	25	56
63	26	55
64	26	55
65	27	55
66	27	54
67	27	53
68	28	53
69	28	52
70	28	52
71	29	51
72	29	51
73	29	50
74	29	49
75	30	49
76	30	48
77	30	48
78	31	47
79	31	47
80	31	46
81	32	46
82	32	45
83	32	45
84	33	44
85	33	44
86	33	43
87	34	43
88	34	42
89	34	42
90	34	41
91	35	41
92	35	40
93	35	40
94	35	39
95	36	39
96	36	38
97	36	38
98	37	37
99	37	37
100	37	36
101	37	36
102	38	36
103	38	35
104	38	35
105	39	34
106	39	34
107	39	33
108	40	33
109	40	33
110	40	32
111	41	32
112	41	31
113	41	31
114	42	31
115	43	31
116	44	31
117	45	31
118	46	31
119	46	30
120	46	30
121	47	30
122	48	30
123	48	29
124	49	29
125	49	29
126	50	28
127	50	28
128	51	28
129	51	27
130	52	27
131	52	26
132	52	26
133	53	26
134	53	25
135	54	25
136	54	25
137	54	24
138	55	24
139	55	23
140	55	23
141	56	22
142	56	22
143	57	22
144	57	21
145	57	21
146	58	21
147	58	20
148	59	20
149	59	19
150	59	19
151	60	19
152	60	18
153	61	18
154	61	17
155	62	17
156	62	17
157	62	16
158	63	16
159	63	15
160	63	15
161	64	15
162	64	14
163	65	14
164	65	13
165	65	13
166	66	13
167	66	12
168	66	12
169	67	11
170	67	11
171	67	11
172	68	10
173	68	10
174	69	9
175	69	9
176	69	9
177	70	8
178	70	8
179	70	7
180	71	7
181	71	7
182	71	6
183	72	6
184	72	5
185	72	5
186	73	5
187	73	4
188	73	4
189	73	3
190	74	3
191	74	3
192	74	2
193	75	2
194	75	1
195	75	1
196	76	1
197	76	0
198	77	0
199	77	0
