iter	Passed	Remaining
0	57	57333
1	57	28875
2	58	19451
3	59	14744
4	59	11914
5	60	10046
6	61	8698
7	61	7663
8	62	6873
9	63	6240
10	63	5734
11	64	5303
12	65	4989
13	66	4681
14	67	4409
15	67	4171
16	68	3967
17	69	3766
18	70	3616
19	70	3452
20	71	3315
21	71	3188
22	72	3071
23	72	2968
24	73	2865
25	74	2775
26	74	2684
27	74	2601
28	75	2529
29	75	2453
30	76	2389
31	77	2329
32	77	2275
33	78	2219
34	78	2169
35	79	2122
36	79	2077
37	80	2034
38	80	1993
39	81	1955
40	82	1919
41	82	1884
42	83	1852
43	83	1822
44	84	1793
45	85	1764
46	85	1738
47	86	1718
48	87	1695
49	88	1674
50	88	1651
51	89	1628
52	90	1608
53	90	1588
54	91	1568
55	91	1548
56	92	1529
57	93	1511
58	93	1493
59	93	1471
60	94	1451
61	94	1435
62	95	1418
63	95	1403
64	96	1389
65	97	1374
66	97	1360
67	98	1347
68	98	1334
69	99	1320
70	99	1308
71	100	1295
72	101	1284
73	101	1275
74	102	1262
75	102	1251
76	103	1241
77	104	1230
78	104	1220
79	105	1211
80	105	1201
81	106	1192
82	107	1183
83	107	1174
84	108	1166
85	108	1157
86	109	1148
87	110	1141
88	110	1133
89	111	1126
90	111	1118
91	112	1111
92	113	1103
93	113	1096
94	114	1089
95	114	1082
96	115	1075
97	116	1067
98	116	1061
99	117	1054
100	117	1048
101	118	1041
102	118	1035
103	119	1029
104	120	1023
105	120	1018
106	121	1012
107	121	1006
108	122	1001
109	122	994
110	123	990
111	124	986
112	124	980
113	125	975
114	126	969
115	126	965
116	127	960
117	127	956
118	128	951
119	129	946
120	129	941
121	130	937
122	130	932
123	131	928
124	131	923
125	132	919
126	133	915
127	133	910
128	134	906
129	135	903
130	135	899
131	136	895
132	136	892
133	137	888
134	138	884
135	138	880
136	139	876
137	139	873
138	140	870
139	141	866
140	141	862
141	142	859
142	142	855
143	143	852
144	144	849
145	144	846
146	145	842
147	145	839
148	146	836
149	147	833
150	147	830
151	148	826
152	148	823
153	149	820
154	149	817
155	150	813
156	151	810
157	151	808
158	152	805
159	152	802
160	153	799
161	153	796
162	154	793
163	155	790
164	155	788
165	156	785
166	157	783
167	157	780
168	158	778
169	158	775
170	159	772
171	160	770
172	160	767
173	161	765
174	161	762
175	162	760
176	162	757
177	163	755
178	164	752
179	164	750
180	165	747
181	165	745
182	166	743
183	167	740
184	167	738
185	168	736
186	168	733
187	169	731
188	169	728
189	170	726
190	171	724
191	171	722
192	172	720
193	172	718
194	173	716
195	174	714
196	174	711
197	175	709
198	175	707
199	176	705
200	176	702
201	177	701
202	178	699
203	178	697
204	179	695
205	179	693
206	180	691
207	181	689
208	181	687
209	182	685
210	182	683
211	183	682
212	184	680
213	184	678
214	185	676
215	185	674
216	186	672
217	186	670
218	187	668
219	187	666
220	188	663
221	188	661
222	189	659
223	189	657
224	190	655
225	190	653
226	191	650
227	191	648
228	192	647
229	192	646
230	193	645
231	194	643
232	195	642
233	195	640
234	196	638
235	196	636
236	197	634
237	197	632
238	198	630
239	198	628
240	198	626
241	199	624
242	199	622
243	200	621
244	200	619
245	201	617
246	201	615
247	202	613
248	202	612
249	203	610
250	203	608
251	204	606
252	205	605
253	205	604
254	206	602
255	206	601
256	207	599
257	207	598
258	208	596
259	209	595
260	209	594
261	210	592
262	210	591
263	211	590
264	212	588
265	212	587
266	213	585
267	213	583
268	214	582
269	214	581
270	215	579
271	215	578
272	216	576
273	217	575
274	217	574
275	218	572
276	218	571
277	219	570
278	220	568
279	220	567
280	221	566
281	221	565
282	222	564
283	223	562
284	223	561
285	224	560
286	224	558
287	225	557
288	226	556
289	226	554
290	226	552
291	227	551
292	227	549
293	228	548
294	228	546
295	229	545
296	229	544
297	230	542
